Class,Title,Description,BodyText,ImageSrc,ImageSrc2,Caption,Caption2,Link,Keywords
leftDoubleImage,"Lupi, Giorgia","""Italian Designer, 1981-now""","Giorgia Lupi is a information designer. Her artwork Bruises?, The Data We Donot See is about using data visualization to record child's blood platelet illness change as time passes by. This artwork also use music which can be used to give mental support to ill people and also can be used to record personal experiences.",https://thegreatdiscontent.com/wp-content/uploads/2022/04/Giorgia-Lupi-1155-web-1536x1028.jpg,https://www.artribune.com/wp-content/uploads/2020/06/Giorgia-Lupi-and-Kaki-King-%E2%80%94-Bruises-The-Data-We-Don%E2%80%99t-See-detail-lowres.jpg,Photography by Noemie Tshinanga,"Giorgia Lupi and Kaki King, Bruises: The Data We Donot See",http://giorgialupi.com/bruises-the-data-we-dont-see,"""DataVisualization, 1980s, Designer"""
left,"Haacke, Hans ","""German Artist, 1936-now""","In his Condensation Cube, the work is a transparent acrylic cube containing water. Because of the temperature difference between the inside and outside, water vapour condenses into drops that run down the walls of the cube, displaying on random forms.",https://arts.recursos.uoc.edu/wp-content/uploads/sites/17/2019/10/casos_condensation-768x1107.jpg,,"Hans Haacke, Condensation Cube (1965)",,https://www.macba.cat/en/art-artists/artists/haacke-hans/condensation-cube,"""ConceptualArt, PhysicalArt, 1930s, Artist"""
left,"Cohen, Harold","""British Artist, 1928-2016""","Cohen built his own plotters and painting machines, which called AARON. This program interprets computer commands to make line drawings on paper and automated add color with brushes.",https://whitneymedia.org/assets/image/829867/large_RS78111_Harold-Cohen-AARON-for-KCat-2001---9.jpg,,"Harold Cohen, AARON KCAT, 2001. Screenshot. Artificial intelligence software.",,https://whitney.org/exhibitions/harold-cohen-aaron,"""AIArt, 1920s, Artist"""
leftDoubleImage,"Salavon, Jason","""American Artist, 1970-now""","He is famous for his use of custom computer software to redesign existing media to create new visual artworks. This can be seen from his All the Ways (Couch Gag) in 2016, he uses episodes of The Simpsons as data. Through change parameters, it maps a space inhabited by them. In 117 Homes for Sale, each artwork represents homes on the market in a given region.",http://salavon.com/site_media/projects/all-ways-couch-gag/05_CouchGag_pressweb.png,http://salavon.com/site_media/projects/Homes/HomesForSale_Chicago.png,"All the Ways (Couch Gag), 2016","117 Homes for Sale, Chicagoland 1999",http://salavon.com/work/all-the-ways-couch-gag/,"""ContemporaryArt, 1970s, Artist"""
leftDoubleImage,"Schmidt, Joost","""German Typographer and Graphic Designer, 1893-1948""",Joost is a teacher of Bauhaus. His design idea is about unify and applied art. Joost devoted a strict and disciplined concept of designing his works which like many of his Bauhaus friends.,https://d2jv9003bew7ag.cloudfront.net/uploads/Joost-Schmidt-Bauhaus-wallpaper-ad-1931-Image-via-bpblogspotcom.jpg,https://d2jv9003bew7ag.cloudfront.net/uploads/Joost-Schmidt-One-of-the-posters-for-the-1923-Bauhaus-Exhibition-in-Weimar-Left-Offset-buch-und-werbekunst-1926-Right-Images-via-oliviaggraphicsproject2com-and-mutualartcom.jpg,"Joost Schmidt - Bauhaus wallpaper ad , 1931","Joost Schmidt - One of the posters for the 1923 Bauhaus Exhibition in Weimar (Left) / Offset buch und werbekunst, 1926 (Right)",https://www.widewalls.ch/artists/joost-schmidt,"""BauhausArt, FunctionalModernism, 1890s, Designer"""
leftDoubleImage,"Miebach, Nathalie","""Boston Artist, 1972-now""",Nathalie Miebach converts data from weather systems into colourful installations. She also uses the unique basket weaving techniques into her work. Through again and again sculpture about climate change which seems to warns the era of Anthropocene.,https://www.stirworld.com/images/see/4494_Nathalie_6.jpg?25,https://www.stirworld.com/images/see/4494_Nathalie_2.jpg?25,Portrait of Nathalie Miebach,"The Blindness of Seeing Patterns, 2021, paper, wood, weather and Covid-19 data",https://www.stirworld.com/see-features-nathalie-miebach-turns-data-from-weather-systems-into-colourful-installations,"""ContemporaryArt, ClimateChange, Anthropocene, 1970s, Artist"""
leftDoubleImage,"Harbisson, Neil","""British Artist, 1984-now""","Neil Harbisson is the world first cyborg uses an antenna sensor to perceive colour. He born with achromatopsia, a condition that is a lack of coloured vision which only sees black, white, and gray of the world. Thus, through antenna device he perceives the sounds as colour by connecting specific sounds with its colours.",https://i0.wp.com/settingmind.com/wp-content/uploads/2018/08/Neil-Harbisson-Colour.jpg?resize=800%2C427&ssl=1,https://archivo.getxophoto.com/wp-content/uploads/Web_19_Neil_05.jpg,Photography of Neil Harbisson,Transcranial Painting by Neil Harbisson,https://settingmind.com/the-worlds-very-first-cyborg-uses-an-antenna-sensor-to-perceive-colour/,"""CyborgArt, ContemporaryArt, 1980s, Artist"""
leftDoubleImage,"Cezanne, Paul","""French Artist, 1839-1906""","Cezanne often uses repetitive brushstrokes that are very characteristic and recognizable. He is well good at colour, light, and shape into his drawing to make the still drawing lively.",https://images.edrawmind.com/article/paul-c%C3%A9zanne/paul-czanne-800.jpg,https://www.accessart.org.uk/wp-content/uploads/2022/03/image-from-rawpixel-id-2035657-jpeg-scaled.jpeg,image from: https://www.edrawmind.com/article/paul-cezanne-biography.html,A Table Corner (ca. 1895) by Paul Cezanne,https://www.accessart.org.uk/talking-points-cezanne/,"""Post-Impressionism, 1830s, Artist"""
leftDoubleImage,"Wang, Tiange","""American Designer, now""","""Tiange is a multidisciplinary designer and creative technologist. SynCocreate is a VR-based interpersonal electroencephalography (EEG) neurofeedback co-creation platform. It offers a playful and engaging experience for co-creating artwork within a VR environment through synchronizing brainwaves between pairs of users. Inspired by Wagashi, the traditional Japanese confection art regarded as a microcosm of time, space and nature, DataWagashi is a new medium aiming to make data tangible, accessible and fun by blending taste, smell, touch, texture, and physical interaction into the vocabulary of data communication.""",https://assets-global.website-files.com/64e2b863bb8618a54219f462/65cf799e0f2dd3627aea9888_01_still-image-reduced%201.jpg,https://assets-global.website-files.com/64e2b863bb8618a54219f462/64e2c7126f9e84517ae31ab2_night-wash.jpg,"SynCocreate, 2024","DataWagashi, 2023",https://www.tiangewang.io/about,"""InteractionDesign, ProductDesign, Designer"""
leftDoubleImage,"Blas, Zach","""London Artist, 1981-now""",The CULTUS is a techno-religious computational device about a god generator and a holy engine.,https://zachblas.info/wp-content/uploads/2023/11/Zach-Blas_CULTUS-2023-photo-credit-Max-Colson_LowRes-2-copy.jpg,https://zachblas.info/wp-content/uploads/2023/11/Zach-Blas_CULTUS-2023-photo-credit-Max-Colson_LowRes-26-copy.jpg,"CULTUS, 2022","CULTUS, 2022",https://zachblas.info/works/cultus/,"""AIArt, ReligiousArt, Artist"""

